source_doc,question,answer
doc09.txt,How does a classic stack smashing exploit work?,"A classic stack smashing exploit uses a payload structured as padding to fill the target buffer, overwrite of the saved return address with the address of attacker-controlled memory, and shellcode placed in the buffer or elsewhere in memory. When the vulnerable function returns, the processor jumps to the shellcode and executes it with the privileges of the vulnerable process."
doc09.txt,What is the difference between a stack overflow and a heap overflow?,"A stack overflow occurs when a program overflows a fixed-size stack buffer, potentially overwriting return addresses, while a heap overflow occurs when dynamically allocated memory is overrun, corrupting heap metadata or overwriting function pointers."
doc09.txt,Why is Address Space Layout Randomisation (ASLR) effective in preventing buffer overflows?,"ASLR randomises the base addresses of the stack, heap, and loaded libraries at each execution, making it difficult for attackers to hardcode target addresses, requiring an information leak to defeat."
doc09.txt,What is Return-Oriented Programming (ROP) and how does it relate to buffer overflows?,"ROP is a technique used by attackers to adapt to NX and ASLR mitigations, where they chain small existing code snippets (gadgets) ending in a RET instruction rather than injecting new code, which can defeat NX but typically still requires an ASLR bypass."
doc10.txt,What is the term 'zero-day' referring to in the context of software vulnerabilities?,The term 'zero-day' refers to the vendor having had zero days to develop and deploy a fix for a security flaw in software or hardware.
doc10.txt,What are some common methods used to discover zero-day vulnerabilities?,"Zero-days are discovered through manual code review, fuzzing (automated testing with malformed inputs), reverse engineering of patches from similar products, and binary diffing of software updates."
doc10.txt,Why is prompt patching of N-days critical in defending against zero-day exploitation?,"Attackers exploit known CVEs far more frequently than zero-days, so patching N-days is essential to prevent exploitation."
doc10.txt,What is the Common Vulnerability Scoring System (CVSS) used for in evaluating vulnerabilities?,"The Common Vulnerability Scoring System (CVSS v3.1) provides a standardised severity score from 0-10 based on attack vector, complexity, privileges required, user interaction, scope, and impact on confidentiality, integrity, and availability."
doc10.txt,What is the main difference between the white market and the black market in the context of zero-day exploits?,"The main difference is that the white market involves vendors paying researchers for exploits through bug bounty programs, whereas the black market involves criminal forums selling exploits to financially motivated attackers."
doc11.txt,What is the primary goal of a well-executed incident response process?,"A well-executed incident response process minimises damage, reduces recovery time and cost, and preserves evidence for legal proceedings."
doc11.txt,What are the four phases of the incident response process as defined by NIST?,"The four phases are: Preparation, Detection and Analysis, Containment/Eradication/Recovery, and Post-Incident Activity."
doc11.txt,How do organisations typically detect most incidents?,"Most incidents are detected through SIEM alerts, EDR telemetry, antivirus detections, user reports, or third-party notification (threat intelligence feeds, government alerts, vendor breach notifications)."
doc11.txt,Why is it important to maintain a chain of custody during incident analysis?,"Evidence must be preserved in a forensically sound manner — disk images, memory dumps, log exports — to maintain chain of custody."
doc11.txt,What is the purpose of conducting tabletop exercises and simulation drills annually?,Conducting tabletop exercises and simulation drills at least annually helps organisations prepare for incidents and identify potential weaknesses in their response plans.
doc12.txt,What is the primary operational challenge faced by SOC teams in large organisations using SIEM systems?,Alert fatigue from high false-positive rates is the primary operational challenge.
doc12.txt,How do SIEM systems enable security operations centre (SOC) teams to detect threats and investigate incidents?,"By centralising log collection and applying detection rules and analytics, SIEMs enable security operations centre (SOC) teams to detect threats, investigate incidents, and demonstrate compliance."
doc12.txt,What is the purpose of normalisation in SIEM systems?,"Normalisation in SIEM systems converts logs from heterogeneous formats into a consistent data model, mapping vendor-specific timestamps, field names, and event codes to standard schemas such as OCSF — Open Cybersecurity Schema Framework."
doc12.txt,What is the difference between signature-based rules and behavioural analytics in SIEM systems?,"Signature-based rules use static conditions to match known attack patterns, while behavioural analytics use machine learning to establish baselines of normal behaviour and alert on significant deviations, detecting insider threats, compromised accounts, and unknown malware that evade signature detection."
doc12.txt,Why do SIEM systems store logs for long-term retention?,"SIEM systems store logs for compliance requirements, such as PCI DSS, which requires 12 months of log retention, and for forensic investigations, which often require log data from months before an incident."
doc13.txt,What is the primary function of an Intrusion Prevention System (IPS)?,"An IPS adds the capability to automatically block or drop malicious traffic when it detects malicious traffic, in addition to alerting security teams to potential attacks."
doc13.txt,How does a Signature-based detection method compare to an Anomaly-based detection method?,"Signature-based detection compares traffic against a library of known attack patterns, whereas Anomaly-based detection establishes a statistical model of normal traffic and alerts when behaviour deviates significantly."
doc13.txt,What is the main difference between a Network-based IDS/IPS and a Host-based IDS?,"A Network-based IDS/IPS monitors all traffic passing the sensor, while a Host-based IDS runs on individual endpoints and servers, monitoring system calls, file integrity, registry changes, log files, and network connections from the host's perspective."
doc13.txt,Why is tuning critical for Intrusion Detection and Prevention Systems (IDS/IPS)?,"Tuning is critical to minimize false positives and reduce alert fatigue, while maintaining sensitivity to true threats, as false positives in an IPS can block legitimate traffic."
doc13.txt,What are some examples of Evasion Techniques used by attackers to bypass IDS/IPS?,"Attackers use techniques such as fragmentation, polymorphism, encryption, low-and-slow, and protocol ambiguity to evade detection."
doc14.txt,What is the primary difference between penetration testing and automated vulnerability scanning?,"Penetration testing involves human creativity and chaining of vulnerabilities to demonstrate real-world attack impact, unlike automated vulnerability scanning."
doc14.txt,What is the purpose of the 'Rules of Engagement' (RoE) document or Statement of Work in penetration testing?,"The RoE document or Statement of Work defines the target systems, excluded systems, testing windows, approved techniques, emergency contact procedures, and reporting requirements for penetration testing."
doc14.txt,How does the PTES Methodology Phases differ from a Red Team engagement?,"The PTES Methodology Phases is a structured, time-boxed assessment of technical controls, whereas a Red Team engagement is a broader, objective-based simulation using stealthy techniques over weeks or months."
doc14.txt,Why is it essential to communicate findings securely to the client?,All findings must be communicated to the client securely to prevent data breaches and ensure responsible disclosure of findings.
doc14.txt,What are the primary objectives of the 'Threat modelling' phase in the PTES Methodology Phases?,"The primary objectives of the 'Threat modelling' phase are to identify the most likely attackers and their objectives, and to prioritise testing effort accordingly."
doc15.txt,What is the primary characteristic of an Advanced Persistent Threat (APT)?,"An Advanced Persistent Threat (APT) is a prolonged, targeted cyberattack in which an adversary gains and maintains unauthorised access to a target network for months or years."
doc15.txt,How do attackers typically gain initial access to a target network in an APT?,"Attackers typically gain initial access through spear-phishing emails with weaponised attachments or links, tailored to named individuals with contextually convincing lures."
doc15.txt,What is the purpose of Defence Evasion tactics in an APT?,"The purpose of Defence Evasion tactics is to obfuscate tools and traffic, disable security software, clear event logs, use signed binaries to bypass application whitelisting, and abuse process injection to hide malicious code inside legitimate processes."
doc15.txt,What is the difference between signature-based detection and behavioural detection in APT defence?,"Signature-based detection relies on identifying known patterns or signatures of malware, whereas behavioural detection targets specific ATT&CK techniques, focusing on the actions and behaviours of the attacker rather than just the malware itself."
doc15.txt,Why is it difficult to detect APTs using traditional signature-based detection methods?,"APTs are designed to evade signature-based detection, making it challenging to identify them using traditional methods. Effective defences rely on behavioural detection rules, threat hunting, and other advanced techniques."
doc18.txt,What is the primary responsibility of the cloud provider in the shared responsibility model?,"The cloud provider is always responsible for the security of the cloud, including physical infrastructure, hypervisors, network fabric, and the underlying hardware."
doc18.txt,What is the 'confused deputy' problem in cloud security?,"The 'confused deputy' problem can arise when IAM roles are assumed across accounts without proper restrictions, leading to unintended access and potential security breaches."
doc18.txt,Why is API security a top cloud security risk?,"API security is a top cloud security risk because cloud environments are managed entirely through APIs, and exposed or poorly secured management APIs are attractive targets for attackers."
doc18.txt,What is the purpose of using Cloud Security Posture Management (CSPM) tools?,"CSPM tools continuously assess cloud environments against security benchmarks and compliance frameworks, providing risk-based visibility without requiring agents, to help identify and remediate security misconfigurations and vulnerabilities."
doc18.txt,What is the recommended approach for managing encryption in the cloud?,"The recommended approach for managing encryption in the cloud is to enable encryption at rest for all storage using provider-managed or customer-managed KMS keys, enforce TLS for all data in transit, and use envelope encryption for sensitive data."
doc19.txt,What is the main purpose of the OWASP Top 10 framework?,"The OWASP Top 10 is the most widely recognised framework for web application security risks, updated periodically based on vulnerability data from hundreds of organisations."
doc19.txt,How does a Broken Access Control vulnerability allow an attacker to access unauthorised functionality or data?,"Attackers exploit Broken Access Control flaws to access unauthorised functionality or data by exploiting restrictions on authenticated users that are not properly enforced, such as viewing another user's account, modifying access privileges, or acting as another user."
doc19.txt,What is the difference between IDOR and other types of Broken Access Control vulnerabilities?,"IDOR (Insecure Direct Object Reference) is a classic example of Broken Access Control, where changing the URL parameter from /account?id=123 to /account?id=124 accesses another user's account, whereas other Broken Access Control vulnerabilities may involve modifying access privileges or acting as another user."
doc19.txt,"Why is it a security risk to store passwords in plaintext or with weak hashes (MD5, SHA-1 without salt)?","Storing passwords in plaintext or with weak hashes (MD5, SHA-1 without salt) exposes sensitive data, making it vulnerable to attacks and compromising user security."
doc19.txt,Why is it important to validate and sanitise user-supplied URLs to prevent Server-Side Request Forgery (SSRF)?,"Validating and sanitising user-supplied URLs helps to prevent SSRF attacks, which occur when an application fetches a remote resource based on user-supplied URL without validating against an allowlist, allowing attackers to reach internal services not normally accessible from the internet."
doc20.txt,What is static analysis in malware analysis?,"Static analysis examines the malware file without executing it, involving techniques such as file profiling, string extraction, disassembly, and import analysis to understand the malware's functionality."
doc20.txt,How does dynamic analysis help with packed and obfuscated malware samples?,"Dynamic analysis is required to unpack packed and obfuscated samples, as static analysis of the packed stub is only partially useful."
doc20.txt,What is the purpose of sandboxing in dynamic analysis?,"Automated sandboxes detonate samples and log file system changes, registry modifications, network connections, process creation, and API calls, allowing for rapid analysis of malware behaviour."
doc20.txt,What is the difference between automated and manual dynamic analysis?,"Automated dynamic analysis uses automated sandboxes to observe malware behaviour, while manual dynamic analysis involves running the sample in an isolated VM and monitoring with tools like Process Monitor and Wireshark to allow for interaction and observation of malware behaviour."
doc20.txt,Why do analysts modify VMs to appear more realistic during malware analysis?,"Analysts modify VMs to appear more realistic to counter malware's VM detection techniques, which check for VMware/VirtualBox specific registry keys, files, MAC address prefixes, or timing anomalies."
doc21.txt,What is the primary goal of Identity and Access Management (IAM)?,The primary goal of Identity and Access Management (IAM) is to ensure that the right people and systems have the right access to the right resources at the right time — and no more.
doc21.txt,What is the main difference between Discretionary Access Control (DAC) and Mandatory Access Control (MAC)?,"The main difference between Discretionary Access Control (DAC) and Mandatory Access Control (MAC) is that DAC allows resource owners to control who can access their resources, whereas MAC has the system enforce access based on classification labels and subject clearances."
doc21.txt,Why is the Principle of Least Privilege important in IAM?,"The Principle of Least Privilege is important in IAM because it reduces the blast radius of compromised accounts, insider threats, and malware by limiting users and systems to only the minimum access required to perform their function, for the minimum time required."
doc21.txt,How does Privileged Access Management (PAM) help to secure privileged accounts?,"Privileged Access Management (PAM) solutions vault privileged credentials, require approval workflows for access, rotate passwords automatically, and record all privileged sessions for audit purposes, making it more difficult for attackers to gain access to these high-value targets."
doc21.txt,What is the main idea behind Zero Trust Identity architectures?,"Zero Trust Identity architectures treat identity as the new perimeter, fully authenticating and authorizing every access request regardless of network location, and implementing continuous validation, device health checks, and risk-based authentication at the identity layer."
doc22.txt,What is the primary purpose of threat intelligence enrichment in vulnerability management?,"Threat intelligence enrichment correlates CVEs found in the environment with exploitation intelligence, transforming a raw list of findings into an exploitation-probability-weighted risk register."
doc22.txt,Why is the CVSS score alone insufficient for prioritisation?,"The CVSS score alone is insufficient for prioritisation because it does not take into account the exposure and risk of the vulnerability, such as whether it is on an internet-facing server or an isolated internal system."
doc22.txt,How does the CISA KEV catalogue influence vulnerability prioritisation?,"CISA KEV CVEs are treated as urgent regardless of CVSS score, and federal agencies must patch KEV vulnerabilities within mandated timeframes (typically 2-3 weeks)."
doc22.txt,What is the preferred remediation for vulnerabilities?,"Patching is the preferred remediation, with most enterprises operating on patch cycles: critical patches within 24-72 hours, high within 7-14 days, medium within 30 days, low within 90 days."
doc22.txt,What is the purpose of contextual risk in vulnerability prioritisation?,"Contextual risk adjusts priority based on asset criticality, compensating controls, and data sensitivity, to provide a more accurate assessment of the risk posed by each vulnerability."
doc23.txt,What is the primary difference between traditional antivirus and Endpoint Detection and Response (EDR) platforms?,"Traditional antivirus relies primarily on signature-based detection, whereas EDR platforms use comprehensive telemetry collection, behavioural detection, and machine learning-based detection algorithms to identify threats."
doc23.txt,How do EDR platforms detect fileless malware and memory-only attacks?,"EDR platforms detect these threats through memory scanning, behaviour monitoring, and AMSI (Antimalware Scan Interface) integration that intercepts script execution, allowing them to identify malicious code injected directly into memory or executed without dropping files."
doc23.txt,What is the purpose of behaviour-based detection in EDR platforms?,"Behaviour-based detection flags suspicious behaviours regardless of the specific file or tool used, enabling EDR platforms to identify attack techniques that may not be detected through signature-based detection."
doc23.txt,Why is patch management integration important in EDR platforms?,"Patch management integration enables EDR platforms to identify endpoints with known vulnerabilities that are being actively targeted, allowing organisations to prioritise patching and reduce their attack surface."
doc23.txt,What is Managed Detection and Response (MDR) and how does it benefit organisations?,"Managed Detection and Response (MDR) is a service that enables organisations to outsource threat monitoring and response to MDR providers, who monitor EDR telemetry and respond to incidents on behalf of the customer, bridging the security skills gap for mid-market organisations."
doc24.txt,What is a supply chain attack?,"A supply chain attack targets the less-secure elements in the software or hardware supply chain to compromise downstream customers, often by compromising a trusted vendor, supplier, or open-source component."
doc24.txt,How did the SolarWinds Attack go undetected for nine months?,"The attack used an extended dormancy period (up to two weeks after installation before activating), domain generation algorithm (DGA) communication to blend with legitimate Orion network traffic, and only proceeded to full C2 communication if the environment matched specific criteria."
doc24.txt,What is the difference between a software supply chain attack and a hardware supply chain attack?,"Software supply chain attacks target vulnerabilities in software components, whereas hardware supply chain attacks involve counterfeit components, firmware implants, and hardware backdoors introduced during manufacturing or transit."
doc24.txt,Why is Log4j vulnerable to the Log4Shell attack?,"Log4j is vulnerable because it allows an attacker to send a crafted string that, when logged by a vulnerable application, triggers JNDI LDAP lookups fetching and executing attacker-controlled Java code."
doc24.txt,Why is it difficult to remediate a Log4Shell attack?,"Many organisations were unaware they were exposed because Log4j was a transitive dependency embedded inside other libraries and applications, making it challenging to identify and patch vulnerable systems."
doc26.txt,What is the primary security challenge introduced by wireless networks?,Wireless networks introduce unique security challenges because radio signals propagate beyond physical boundaries — anyone within range can attempt to intercept or interact with the network.
doc26.txt,Why is WPA2-PSK vulnerable to offline dictionary attacks?,"WPA2-PSK's vulnerability to offline dictionary attacks is addressed by WPA3 through Simultaneous Authentication of Equals (SAE — the Dragonfly handshake), which provides forward secrecy even if the password is later compromised."
doc26.txt,How does the PMKID Attack work against WPA2-PSK?,"The PMKID Attack against WPA2-PSK involves deriving the pre-shared key from a single packet from the AP that contains the PMKID, through offline dictionary attack without capturing a full 4-way handshake."
doc26.txt,What is the difference between WPA2-PSK and WPA2-Enterprise?,"WPA2-PSK is suitable for home/small business and uses a pre-shared key, while WPA2-Enterprise uses 802.1X authentication with EAP and a RADIUS server, eliminating the shared password problem."
doc26.txt,Why is it recommended to deploy WPA3-Enterprise for new deployments?,"WPA3-Enterprise mandates 192-bit minimum security and provides forward secrecy through Simultaneous Authentication of Equals (SAE), making it a more secure option compared to WPA2-Enterprise."
doc27.txt,What is a common security risk introduced by IoT devices?,"IoT devices often introduce significant security risks because they are often deployed with weak defaults, infrequent updates, and limited security capabilities, while providing persistent network access."
doc27.txt,What is the main reason why many IoT devices lack the computing power to run full cryptographic stacks?,"Many IoT devices lack the computing power, memory, or battery capacity to run full cryptographic stacks."
doc27.txt,How can attackers compromise IoT devices with default credentials?,Attackers can compromise IoT devices with default credentials by scanning for and logging into devices using hardcoded default credential pairs.
doc27.txt,"What is the purpose of implementing secure, automated firmware update processes with cryptographic verification?","The purpose of implementing secure, automated firmware update processes with cryptographic verification is to prevent man-in-the-middle injection of malicious firmware."
doc27.txt,Why is it essential to maintain a complete IoT asset inventory?,Maintaining a complete IoT asset inventory is essential to discover unauthorised IoT devices and to implement effective mitigation strategies.
doc28.txt,What is the primary vector for cyberattacks according to the 2022 Verizon DBIR?,"Email remains the primary vector for cyberattacks, with 36% of data breaches attributed to phishing."
doc28.txt,How does SPF (Sender Policy Framework) protect against email spoofing?,"SPF protects against email spoofing by listing IP addresses authorised to send email on behalf of a domain in a DNS TXT record, and receiving servers check that the sending IP is in the SPF record to validate the envelope sender (MAIL FROM)."
doc28.txt,What is the main difference between SPF and DKIM?,"SPF validates the envelope sender (MAIL FROM), while DKIM cryptographically signs outgoing messages using a private key, confirming the message was not altered in transit and originated from the signing domain."
doc28.txt,"Why is DMARC (Domain-based Message Authentication, Reporting, and Conformance) considered the most effective anti-spoofing control?","DMARC with p=reject is the most effective anti-spoofing control because it instructs receiving servers to discard messages that fail authentication, providing a strong defence against spoofing attempts."
doc28.txt,What is the purpose of BIMI (Brand Indicators for Message Identification) in email security?,"BIMI allows organisations with DMARC enforcement to display their logo in supported email clients, increasing user trust in authenticated email."
doc29.txt,What is Broken Object Level Authorisation (BOLA)?,"Broken Object Level Authorisation (BOLA) is an API vulnerability where APIs expose object identifiers but fail to verify that the authenticated user is authorised to access that specific object, allowing attackers to enumerate IDs to access other users' data."
doc29.txt,Why is it necessary to validate JWT signatures and claims?,"Validating JWT signatures and claims, such as expiry, issuer, and audience, is necessary to ensure the authenticity and integrity of the JSON Web Tokens used for authentication."
doc29.txt,How does rate limiting and throttling help prevent attacks?,"Rate limiting and throttling, applied at the API gateway layer, help prevent attacks by applying per-user and per-IP rate limits, using exponential backoff, and temporary IP blocking for brute force patterns, thereby limiting the amount of damage that can be done by an attacker."
doc29.txt,What is the difference between Broken Object Property Level Authorisation and Broken Function Level Authorisation?,"Broken Object Property Level Authorisation is a vulnerability where APIs return entire objects but clients should only access a subset of properties, whereas Broken Function Level Authorisation is a vulnerability where administrative functions exposed through the same API are accessible by unprivileged users."
doc29.txt,Why is it essential to include API security testing in CI/CD pipelines?,"Including API security testing in CI/CD pipelines is essential to automatically test for OWASP API Top 10 vulnerabilities, ensuring that API security is integrated into the development process and reducing the risk of API-related security issues."
doc3.txt,What is phishing?,Phishing is a type of social engineering attack in which an attacker impersonates a trustworthy entity to trick individuals into revealing sensitive information or installing malicious software.
doc3.txt,What are some common phishing techniques?,"Common phishing techniques include Spear Phishing, Whaling, Clone Phishing, and Business Email Compromise (BEC)."
doc3.txt,Why do attackers use urgent language in phishing messages?,Attackers use urgent language to create a sense of urgency and trick individuals into taking action quickly without verifying the legitimacy of the message.
doc3.txt,What are some technical indicators of phishing?,"Technical indicators of phishing include mismatched URLs, suspicious sender domains, urgent language, unexpected attachments, and requests for credentials or financial information."
doc3.txt,What countermeasures does NIST recommend for preventing phishing attacks?,"NIST guidelines recommend regular phishing simulation exercises, employee security awareness training, multi-factor authentication (MFA), email authentication protocols (SPF, DKIM, DMARC), anti-phishing browser extensions, and incident response plans."
doc30.txt,What is an insider threat?,"An insider threat is a security risk originating from within the targeted organisation — current or former employees, contractors, business partners, or vendors who have authorised access to networks, systems, or data."
doc30.txt,What is the main challenge in detecting insider threats compared to external threats?,"Unlike external threats, insiders already have legitimate access credentials, making detection significantly more challenging."
doc30.txt,How do negligent insiders typically cause security incidents?,"Negligent insiders cause security incidents through carelessness, poor security hygiene, or failure to follow policies, such as falling for phishing emails, misconfiguring cloud resources, or sending sensitive data to personal email."
doc30.txt,What is the primary purpose of User and Entity Behaviour Analytics (UEBA) in detecting insider threats?,"UEBA is particularly effective at detecting data exfiltration over time by departing employees, by establishing baselines of normal user behaviour and alerting on significant deviations."
doc30.txt,Why is it essential to involve legal counsel and HR in insider threat investigations?,"Insider threat investigations must balance security needs with employee privacy rights and employment law, and monitoring should be disclosed in acceptable use policies."
doc31.txt,What is the Secure Software Development Lifecycle (SSDLC)?,"The Secure Software Development Lifecycle (SSDLC) integrates security activities throughout every phase of software development — from requirements and design through implementation, testing, deployment, and maintenance."
doc31.txt,Why is it more cost-effective to fix security defects during the design phase?,Security defects are 30x cheaper to fix during design than in production.
doc31.txt,What is the purpose of threat modelling in the SSDLC?,Threat modelling — systematically identifying threats to the application — is conducted at design time to inform the design of mitigations for each component and data flow in the architecture.
doc31.txt,What is the difference between Static Application Security Testing (SAST) and Dynamic Application Security Testing (DAST)?,"SAST analyses source code without execution to find injection flaws, insecure API use, and other vulnerabilities, whereas DAST tests the running application by sending attack inputs (fuzzing, injection payloads) to discover vulnerabilities."
doc31.txt,Why is it essential to use secrets management systems?,"Secrets management systems, such as HashiCorp Vault, AWS Secrets Manager, and Azure Key Vault, help prevent hardcoded credentials, API keys, or certificates in source code, reducing the risk of accidental exposure."
doc32.txt,What is the primary attack surface in container security?,Container images are the primary attack surface — vulnerabilities in base images and application dependencies are inherited by every container.
doc32.txt,How does Seccomp restrict container behaviour?,Seccomp (system call filtering) profiles restrict the syscalls a container can make.
doc32.txt,What is the difference between Pod Security Policy and Pod Security Standards?,"Kubernetes replaced the deprecated Pod Security Policy with Pod Security Standards (Privileged, Baseline, Restricted), enforced via the built-in Pod Security Admission controller."
doc32.txt,Why is it recommended to never run containers as root?,Never running containers as root — specifying a non-root USER in the Dockerfile — prevents an attacker from writing to the container's filesystem.
doc32.txt,What is the purpose of the CIS Kubernetes Benchmark?,"The CIS Kubernetes Benchmark publishes scored recommendations covering control plane configuration, worker node security, policies, and managed Kubernetes specifics (EKS, AKS, GKE), allowing for automated benchmark assessment against live clusters with kube-bench."
doc33.txt,What is the primary function of the Domain Name System (DNS)?,"The Domain Name System (DNS) is the internet's phone book, translating human-readable domain names into IP addresses."
doc33.txt,Why is DNS a persistent target for attackers?,"DNS is a persistent target for attackers because of its hierarchical, distributed nature, which was designed without security in mind in the 1980s."
doc33.txt,How does DNS Amplification work?,"DNS Amplification works by attackers spoofing the source IP of a victim and sending DNS queries to open resolvers, which respond with amplified answers (up to 28-54x the request size) that flood the victim."
doc33.txt,What is the primary benefit of using DNSSEC?,"The primary benefit of using DNSSEC is that it adds cryptographic signatures to DNS records, allowing resolvers to verify that responses are authentic and have not been tampered with."
doc33.txt,Why is DNSSEC adoption below 30% globally?,"DNSSEC adoption remains below 30% globally due to operational complexity (key management, key rollover, zone signing) and performance overhead."
doc34.txt,What are the four characteristics of valuable cyber threat intelligence?,"Cyber threat intelligence is only valuable when it is timely, accurate, relevant, and actionable."
doc34.txt,What is the primary difference between Strategic and Operational intelligence?,"Strategic intelligence is a high-level analysis of threat landscape trends, geopolitical factors, and the motivations and capabilities of nation-state and criminal threat actors, whereas Operational intelligence is information about specific planned or ongoing campaigns, adversary TTPs, and targets."
doc34.txt,How does MITRE ATT&CK integration enable security teams?,"Mapping intelligence to ATT&CK enables comparison of adversary behaviour, identification of detection gaps, and prioritisation of defensive controls. Security teams use ATT&CK Navigator to visualise coverage and gaps."
doc34.txt,What is the purpose of Threat Intelligence Platforms (TIPs)?,"TIPs aggregate and manage intelligence from multiple sources, normalise formats, enrich with context, and distribute IoCs to consuming security tools automatically."
doc34.txt,Why is trust required for effective threat intelligence sharing?,"Organisations are reluctant to share information that reveals their security failures or sensitive data, so trust is required to facilitate sharing of threat intelligence."
doc35.txt,What is Data Loss Prevention (DLP) and its purpose?,"Data Loss Prevention (DLP) refers to the strategies, processes, and technologies that prevent sensitive data from leaving organisational control. Its purpose is to protect intellectual property, personal data, and national security information from malicious exfiltration, negligent sharing, or accidental exposure."
doc35.txt,How does DLP Architecture categorize its components?,"DLP Architecture categorizes its components into Network DLP, Endpoint DLP, Cloud DLP, and Email DLP, each designed to inspect and control sensitive data in different environments, such as network traffic, endpoints, cloud services, and email."
doc35.txt,What is the difference between Network DLP and Endpoint DLP?,"Network DLP inspects outbound network traffic, whereas Endpoint DLP monitors and controls file operations on endpoints, including encrypted traffic that Network DLP cannot inspect, making it essential for preventing insider exfiltration to removable media."
doc35.txt,Why is data classification accuracy important for DLP effectiveness?,"Data classification accuracy is crucial for DLP effectiveness because it determines the sensitivity level of data and helps DLP systems identify and protect sensitive information. Inaccurate classification can lead to false negatives or false positives, reducing the effectiveness of DLP controls."
doc35.txt,What is the purpose of Rights Management in DLP?,"Rights Management, also known as Information Rights Management (IRM/DRM), provides persistent protection to sensitive information by encrypting and controlling access to documents, even when they are shared externally, thereby preventing unauthorized access or use."
doc36.txt,What is Public Key Infrastructure (PKI) and what does it enable?,"Public Key Infrastructure (PKI) is the framework of policies, procedures, hardware, software, and standards that enables the creation, management, distribution, use, storage, and revocation of digital certificates. PKI underpins HTTPS, email signing (S/MIME), code signing, and VPN authentication."
doc36.txt,What is the difference between RSA and Elliptic Curve Cryptography (ECC) in terms of key sizes and security?,"RSA-2048 and RSA-4096 are current standards, while Elliptic Curve Cryptography (ECC) provides equivalent security to RSA with much smaller key sizes — ECDSA P-256 (256-bit) provides security comparable to RSA-3072."
doc36.txt,What is the purpose of a digital certificate's Subject Alternative Names (SANs) field?,"The Subject Alternative Names (SANs) field contains additional identities (domain names, IP addresses, email addresses) that the digital certificate binds to the subject's public key."
doc36.txt,Why is it necessary to revoke certificates before they expire?,"Certificates may need to be revoked before expiry — if the private key is compromised, the organisation ceases to exist, or the certificate was misissued."
doc36.txt,What is the difference between CRL and OCSP in terms of timeliness and privacy concerns?,"CRL (Certificate Revocation List) is a CA-signed list of revoked serial numbers that is downloaded periodically, while OCSP (Online Certificate Status Protocol) is a real-time query to the CA's OCSP responder for a specific certificate's status, which introduces privacy and availability concerns."
